id	ppi.weight	ppi.age
50293	18.2	69
50296	32.5	69
50299	25.9	66
50300	38.3	66
50303	22.8	66
50304	28.8	66
50310	33.6	66
50311	23.2	61
50315	23.4	61
50316	34.6	61
50322	30.9	61
50326	39.8	61
50327	23.1	61
50330	32.1	61
50333	22.1	61
50335	23.0	61
50336	25.8	61
50340	27.3	61
50341	20.7	59
50344	32.4	59
50345	27.9	59
50348	37.2	59
50351	20.2	59
50354	29.8	59
50355	20.2	59
50358	27.0	59
50359	28.8	59
50364	30.9	58
50365	22.6	58
50369	24.4	58
50370	29.9	58
50374	26.0	58
50375	20.5	58
50377	23.4	59
50382	32.2	55
50383	25.4	55
50385	28.6	56
50386	27.9	56
50390	30.5	56
50391	21.1	56
50396	37.3	55
50397	22.3	55
50404	26.9	55
50405	19.4	55
50406	27.1	55
50407	20.5	55
50411	23.0	54
50412	31.6	54
50417	24.1	54
50419	20.2	50
50420	26.8	54
50421	33.7	51
50429	20.5	49
50430	30.6	51
50431	20.8	44
50432	26.0	49
50474	29.9	68
50475	23.5	68
50478	28.5	68
50479	20.0	68
50482	29.3	69
50485	23.5	69
50486	30.1	69
50487	24.1	69
50490	27.6	68
50491	20.0	68
50494	28.1	68
50496	29.2	69
50497	26.2	68
50500	26.2	68
50701	23.0	69
50703	21.6	68
50704	24.7	69
50707	20.4	69
50708	30.2	70
50712	25.3	68
50714	40.2	68
50715	20.5	70
50719	23.5	68
50722	30.1	69
50723	25.4	68
50728	27.9	68
50729	19.9	69
50731	20.9	68
50735	20.2	67
50736	27.5	67
50740	28.7	67
50741	20.8	67
50744	33.1	67
50745	23.8	67
50746	25.4	67
50749	22.3	67
50752	35.0	67
50753	21.7	67
50755	22.5	67
50756	27.8	67
50760	38.2	67
50763	29.5	67
50764	32.6	67
50767	25.1	67
50770	27.6	67
50771	23.4	67
50774	27.2	67
50775	21.0	67
50778	27.7	67
50779	22.8	67
50784	29.0	67
50787	20.4	67
50788	30.8	67
50792	21.2	67
50793	22.2	67
50794	26.1	67
50795	23.1	67
50797	23.6	66
50798	24.9	66
50799	23.4	66
51201	25.0	71
51202	28.8	69
51204	32.7	71
51205	22.7	70
51209	29.4	70
51210	32.1	70
51211	18.2	69
51216	40.0	70
51219	27.1	69
51220	21.3	69
51221	23.4	70
51223	18.8	69
51224	30.9	69
51228	35.5	70
51229	22.2	69
51233	24.2	68
51234	24.8	69
51236	35.0	69
51239	22.0	69
51240	30.6	68
51241	27.9	68
51243	22.3	68
51244	30.1	69
51245	23.0	69
51247	16.6	68
51250	39.1	68
51254	29.1	69
51257	26.5	70
51258	27.3	68
51259	19.5	68
51262	29.9	70
51263	26.3	67
51268	21.2	68
51272	28.2	68
51275	18.3	67
51276	32.4	67
51277	19.9	67
51280	27.6	67
51281	23.0	68
51283	20.8	67
51284	23.9	68
51288	29.4	67
51289	22.9	67
51291	23.0	66
51294	25.1	67
51295	18.4	67
51297	22.1	63
51302	28.1	66
51303	16.7	59
51304	29.0	67
51307	16.4	66
51308	26.8	63
51309	23.3	59
51313	26.6	91
51319	23.7	91
51324	32.1	71
51327	31.6	71
51328	30.9	69
51329	23.8	69
51334	30.7	68
51335	24.6	68
51338	29.1	68
51339	24.7	68
51342	23.8	68
51345	20.0	68
51346	36.8	68
51349	24.7	68
51350	28.4	69
51351	22.8	69
51355	20.7	68
51356	27.7	68
51359	22.4	68
51360	31.9	68
51361	19.0	68
51364	29.2	68
51367	23.3	68
51368	32.0	68
51371	21.4	69
51372	28.7	69
51375	22.2	68
51376	26.6	68
51377	27.2	68
51380	28.7	68
51383	19.1	NA
51384	31.7	NA
51387	21.2	67
51388	23.6	67
51392	30.7	67
51395	19.3	67
51396	31.8	66
51399	23.9	66
51400	37.0	66
51420	25.7	86
51454	35.3	NA
51455	28.4	66
51461	23.5	86
51463	30.4	NA
51602	21.4	76
51603	18.0	76
51604	22.0	71
51607	22.1	71
51608	27.2	69
51609	19.1	69
51613	18.3	69
51614	28.5	69
51616	26.9	69
51618	31.2	69
51621	20.3	69
51624	24.1	69
51627	23.6	68
51628	28.8	68
51631	18.9	68
51634	25.6	68
51641	20.5	67
51642	27.6	67
51644	33.0	66
51645	22.1	66
51648	30.2	66
51651	26.4	66
51654	27.0	63
51656	34.0	57
51657	19.7	63
51660	30.7	70
51661	22.1	57
51662	28.5	70
51665	25.9	70
51666	28.7	69
51669	22.2	70
51672	40.1	67
51673	23.4	69
51676	27.6	68
51681	32.1	67
51682	31.2	68
51683	22.3	68
51686	22.8	67
51689	20.6	68
51690	25.2	67
51693	19.6	67
51694	35.2	67
51695	17.7	67
51698	24.7	67
51699	22.4	67
51700	34.5	67
51705	25.5	67
51706	30.3	68
51709	18.5	67
51710	31.7	68
51713	21.1	68
51714	29.4	69
51717	20.2	68
51718	23.6	67
51722	29.9	67
51723	20.3	67
51727	16.8	69
51728	32.1	68
51731	22.0	67
51734	28.6	67
51737	23.8	67
51738	26.4	67
51739	21.2	68
51742	31.1	67
51745	19.8	67
51746	29.4	67
51747	24.3	67
51748	27.5	66
51752	36.1	66
51753	24.8	67
51756	28.2	66
51759	19.8	66
51760	23.4	66
51764	32.2	66
51765	19.3	66
51767	20.0	66
51770	29.4	66
51771	23.2	66
51774	28.5	66
51775	22.0	66
51778	27.2	66
51779	23.1	66
51782	27.1	64
51785	23.8	66
51791	23.4	66
51794	20.5	59
51795	23.1	64
51801	19.2	59
51804	23.0	49
51810	26.7	68
51811	19.2	49
51812	31.3	67
51813	24.8	68
51815	25.3	67
51816	27.7	66
51819	20.1	66
51820	26.7	66
51823	23.8	66
51828	24.0	66
51829	19.0	66
51831	23.5	66
51832	32.6	66
51833	22.0	66
51836	29.4	66
51839	19.9	65
51840	24.9	65
51842	25.6	65
51845	21.3	65
51847	18.0	66
51850	26.5	66
51853	21.5	65
51854	27.8	65
51857	21.0	65
51858	29.4	65
