id	tail
50327	7.3
50316	8.5
50322	8.1
50326	8.1
50330	8.2
50333	7.2
50335	7.3
50336	8.1
50340	8.4
50341	7.2
50345	7.5
50351	8.2
50355	7.5
50344	7.3
50348	7.3
50354	8.2
50358	7.9
50359	8.5
50365	7.4
50369	7.6
50364	7.5
50370	8.0
50374	8.4
50375	7.3
50377	7.3
50382	8.2
50386	8.0
50390	8.1
50396	8.5
50383	7.5
50385	7.9
50391	7.5
50397	7.4
50404	7.6
50406	7.6
50412	8.3
50420	8.2
50405	7.2
50407	7.1
50411	7.8
50417	8.1
50430	8.3
50432	7.4
50419	8.5
50421	7.9
50429	7.5
50431	8.2
50475	8.0
50479	8.0
50485	7.9
50487	7.4
50474	8.2
50478	8.3
50482	8.1
50486	8.4
50491	7.6
50497	N/A
50701	8.0
50703	8.0
50490	8.1
50494	7.9
50496	8.2
50500	8.4
50707	8.0
50715	7.5
50719	8.3
50723	7.9
50704	8.1
50708	8.2
50712	7.5
50716	7.8
50729	7.5
50731	7.6
50735	7.5
50741	7.9
50722	8.3
50728	8.0
50736	7.9
50740	8.4
50745	7.8
50749	7.9
50753	7.7
50755	7.7
50744	7.3
50746	8.2
50752	8.3
50756	8.0
50763	8.3
50767	8.5
50771	7.5
50775	7.6
50760	8.7
50764	8.2
50770	7.8
50774	8.0
50779	8.3
50787	7.7
50792	8.0
50778	8.2
50784	8.0
50788	8.1
50793	7.6
50795	8.7
50797	7.7
50794	8.0
50076	8.0
50799	8.0
50085	7.8
50095	8.0
50078	8.1
50798	8.2
50086	8.3
50092	8.0
50099	8.0
49383	7.5
50094	8.0
50100	8.5
51201	8.3
51205	8.4
51209	8.5
51211	7.0
51202	7.9
51204	8.7
51210	8.2
51216	9.1
51219	7.9
51221	7.5
51223	7.3
51229	8.1
51220	8.0
51224	8.6
51228	8.8
51234	8.5
51233	8.6
51239	8.0
51241	8.3
51247	7.4
51236	9.1
51240	8.2
51244	8.5
51250	8.6
51257	8.2
51259	7.9
51291	7.8
51295	7.5
51258	8.2
51262	8.6
51268	8.3
51245	8.5
51243	7.9
51263	8.1
51277	7.7
51254	8.0
51272	8.2
51276	8.5
51280	8.2
51281	8.4
51283	7.3
51289	8.0
51284	8.1
51288	8.5
51294	7.8
51302	8.0
51275	7.9
51297	8.2
51303	8.0
51307	7.2
51304	8.8
51308	8.5
51309	8.3
51313	7.4
51319	7.5
51324	7.3
51328	8.0
51334	7.5
51338	8.0
51327	8.5
51329	8.4
51335	7.6
51339	7.7
51342	7.9
51346	8.4
51350	8.0
51356	8.1
51345	7.6
51349	8.0
51351	7.7
51355	7.9
51360	7.9
51364	8.6
51368	8.5
51372	8.3
51359	7.5
51361	7.7
51367	8.3
51371	8.0
51376	7.9
51380	8.5
51384	8.5
51388	7.5
51375	7.2
51377	7.9
51383	7.2
51387	7.6
51392	8.0
51396	8.0
51400	7.3
51454	8.3
51395	8.0
