id	sire	dam	sex	generation			
298	-9997	-9996	1	2			
299	-9997	-9996	2	2			
300	-9997	-9996	2	2			
301	-9997	-9996	1	2			
302	-9997	-9996	2	2			
307	-9997	-9996	2	2			
308	-9997	-9996	1	2			
309	-9997	-9996	2	2			
312	-9997	-9996	1	2			
314	-9997	-9996	2	2			
315	-9997	-9996	2	2			
316	-9997	-9996	2	2			
317	-9997	-9996	1	2			
318	-9997	-9996	2	2			
319	-9997	-9996	1	2			
323	-9997	-9996	1	2			
324	-9997	-9996	2	2			
326	-9997	-9996	1	2			
327	-9997	-9996	2	2			
328	-9997	-9996	2	2			
331	-9997	-9996	2	2			
332	-9997	-9996	2	2			
333	-9997	-9996	1	2			
334	-9997	-9996	2	2			
336	-9997	-9996	1	2			
337	-9997	-9996	2	2			
338	-9997	-9996	2	2			
339	-9997	-9996	2	2			
340	-9997	-9996	2	2			
341	-9997	-9996	2	2			
342	-9997	-9996	1	2			
343	-9997	-9996	1	2			
344	-9997	-9996	1	2			
346	-9997	-9996	2	2			
347	-9997	-9996	2	2			
348	-9997	-9996	1	2			
349	-9997	-9996	1	2			
350	-9997	-9996	1	2			
351	-9997	-9996	2	2			
354	-9997	-9996	2	2			
355	-9997	-9996	1	2			
356	-9997	-9996	2	2			
357	-9997	-9996	2	2			
359	-9997	-9996	1	2			
360	-9997	-9996	2	2			
363	-9997	-9996	1	2			
364	-9997	-9996	2	2			
365	-9997	-9996	1	2			
366	-9997	-9996	2	2			
370	-9997	-9996	1	2			
371	-9997	-9996	1	2			
372	-9997	-9996	2	2			
373	-9997	-9996	1	2			
374	-9997	-9996	2	2			
375	-9997	-9996	1	2			
377	-9997	-9996	1	2			
378	-9997	-9996	1	2			
379	-9997	-9996	2	2			
382	-9997	-9996	2	2			
383	-9997	-9996	1	2			
385	-9997	-9996	2	2			
387	-9997	-9996	1	2			
388	-9997	-9996	1	2			
389	-9997	-9996	2	2			
390	-9997	-9996	1	2			
392	-9997	-9996	1	2			
393	-9997	-9996	1	2			
394	-9997	-9996	1	2			
395	-9997	-9996	1	2			
396	-9997	-9996	2	2			
397	-9997	-9996	2	2			
398	-9997	-9996	2	2			
399	-9997	-9996	1	2			
400	-9997	-9996	1	2			
401	-9997	-9996	2	2			
402	-9997	-9996	1	2			
403	-9997	-9996	1	2			
405	-9997	-9996	1	2			
406	-9997	-9996	1	2			
407	-9997	-9996	2	2			
408	-9997	-9996	2	2			
409	-9997	-9996	2	2			
410	-9997	-9996	2	2			
411	-9997	-9996	2	2			
412	-9997	-9996	2	2			
413	-9997	-9996	1	2			
414	-9997	-9996	1	2			
415	-9997	-9996	1	2			
417	-9997	-9996	2	2			
418	-9997	-9996	2	2			
420	-9997	-9996	2	2			
422	-9997	-9996	1	2			
424	-9997	-9996	1	2			
425	-9997	-9996	2	2			
426	-9997	-9996	1	2			
428	-9997	-9996	2	2			
429	-9997	-9996	1	2			
431	-9997	-9996	1	2			
433	-9997	-9996	2	2			
436	-9997	-9996	1	2			
437	-9997	-9996	1	2			
438	-9997	-9996	1	2			
439	-9997	-9996	1	2			
441	-9997	-9996	2	2			
443	-9997	-9996	1	2			
445	-9997	-9996	1	2			
