Animal #,CC,Sex,Gen,DOB,Family,Sire,Dam,Sire,Dam,Home.Cage
50726.1,WR,M,F53,24-Apr,BrF52-30,49428.1,50261.1,49428,50261,F53-06
50730.1,BR,M,F53,25-Apr,BrF52-31,49438.1,50273.1,49438,50273,F53-08
50732.1,BL,M,F53,25-Apr,BrF52-31,49438.1,50273.1,49438,50273,F53-08
50734.1,AGR,M,F53,26-Apr,BrF52-12,50272.1,49491.1,50272,49491,F53-08
50738.1,WR,M,F53,26-Apr,BrF52-13,50200.1,50109.1,50200,50109,F53-08
50742.1,WL,M,F53,26-Apr,BrF52-15,50108.1,50128.1,50108,50128,F53-08
50748.1,BL,M,F53,26-Apr,BrF52-17,50214.1,50120.1,50214,50120,F53-10
50750.1,WR,M,F53,26-Apr,BrF52-18,49442.1,50141.1,49442,50141,F53-10
50754.1,WL,M,F53,26-Apr,BrF52-19,49444.1,50135.1,49444,50135,F53-10
50758.1,AGR,M,F53,26-Apr,BrF52-21,50250.1,50133.1,50250,50133,F53-10
50762.1,BL,M,F53,26-Apr,BrF52-23,49492.1,50161.1,49492,50161,F53-10
50766.1,BR,M,F53,26-Apr,BrF52-23,49492.1,50161.1,49492,50161,F53-12
50768.1,AGR,M,F53,26-Apr,BrF52-2,50166.1,49433.1,50166,49433,F53-12
50776.1,WR,M,F53,26-Apr,BrF52-8,50236.1,49465.1,50236,49465,F53-12
50772.1,BL,M,F53,26-Apr,BrF52-5,50246.1,49437.1,50246,49437,F53-12
50780.1,WR,M,F53,26-Apr,BrF52-9,50142.1,49489.1,50142,49489,F53-14
50782.1,AGL,M,F53,26-Apr,BrF52-9,50142.1,49489.1,50142,49489,F53-12
50786.1,AGR,M,F53,26-Apr,BrF52-25,50104.1,50171.1,50104,50171,F53-14
50790.1,BR,M,F53,26-Apr,BrF52-32,49496.1,50301.1,49496,50301,F53-14
50796.1,BL,M,F53,26-Apr,BrF52-33,49460.1,50339.1,49460,50339,F53-14
50800.1,BR,M,F53,30-Apr,BrF52-35,50136.1,50177.1,50136,50177,F53-18
51206.1,AGR,M,F53,2-Jun,BrF52-63,49464.1,50413.1,49464,50413,F53-20
51208.1,WL,M,F53,3-Jun,BrF52-38,50314.1,50101.1,50314,50101,F53-20
51212.1,WR,M,F53,3-Jun,BrF52-38,50314.1,50101.1,50314,50101,F53-20
51214.1,AGR,M,F53,2-Jun,BrF52-63,49464.1,50413.1,49464,50413,F53-20
51218.1,WR,M,F53,4-Jun,BrF52-60,50124.1,50393.1,50124,50393,F53-22
51222.1,BR,M,F53,4-Jun,BrF52-62,50144.1,50409.1,50144,50409,F53-22
51226.1,AGR,M,F53,3-Jun,BrF52-55,50170.1,50271.1,50170,50271,F53-22
51230.1,WL,M,F53,3-Jun,BrF52-55,50170.1,50271.1,50170,50271,F53-22
51232.1,AGL,M,F53,4-Jun,BrF52-49,50428.1,50183.1,50428,50183,F53-22
51238.1,AGR,M,F53,4-Jun,BrF52-41,50298.1,50117.1,50298,50117,F53-24
51242.1,WR,M,F53,5-Jun,BrF52-40,50388.1,50113.1,50388,50113,F53-24
51246.1,BR,M,F53,4-Jun,BrF52-47,50302.1,50187.1,50302,50187,F53-24
51248.1,WL,M,F53,4-Jun,BrF52-47,50302.1,50187.1,50302,50187,F53-24
51252.1,BL,M,F53,5-Jun,BrF52-36,50362.1,49463.1,50362,49463,F53-24
51256.1,WR,M,F53,5-Jun,BrF52-39,50346.1,50105.1,50346,50105,F53-26
51260.1,AGR,M,F53,5-Jun,BrF52-37,50362.1,49469.1,50362,49469,F53-26
51264.1,BR,M,F53,5-Jun,BrF52-59,50126.1,50349.1,50126,50349,F53-26
51266.1,WL,M,F53,5-Jun,BrF52-59,50126.1,50349.1,50126,50349,F53-26
51270.1,AGR,M,F53,4-Jun,BrF52-64,49488.1,50415.1,49488,50415,F53-28
51274.1,BR,M,F53,5-Jun,BrF52-56,50264.1,50257.1,50264,50257,F53-28
51278.1,AGL,M,F53,6-Jun,BrF52-43,50422.1,50249.1,50422,50249,F53-28
51282.1,BL,M,F53,6-Jun,BrF52-45,50228.1,50175.1,50228,50175,F53-28
51286.1,WR,M,F53,5-Jun,BrF52-52,50204.1,50231.1,50204,50231,F53-28
51290.1,AGR,M,F53,6-Jun,BrF52-53,50174.1,50243.1,50174,50243,F53-30
51292.1,AGL,M,F53,6-Jun,BrF52-53,50174.1,50243.1,50174,50243,F53-30
51296.1,BR,M,F53,6-Jun,BrF52-61,50138.1,50389.1,50138,50389,F53-30
51298.1,WL,M,F53,6-Jun,BrF52-65,50312.1,50277.1,50312,50277,F53-30
51300.1,BL,M,F53,7-Jun,BrF52-54,50276.1,50239.1,50276,50239,F53-30
51306.1,AGL,M,F53,6-Jun,BrF52-65,50312.1,50277.1,50312,50277,F53-32
51310.1,WRL,M,F53,10-Jun,BrF52-44,49468.1,50263.1,49468,50263,F53-32
51314.1,WRL,M,F53,14-Jun,BrF52-51,50188.1,50227.1,50188,50227,F53-32
51318.1,WL,M,F53,24-Jun,BrF52-57,50162.1,50291.1,50162,50291,F53-34
51320.1,AGL,M,F53,24-Jun,BrF52-57,50162.1,50291.1,50162,50291,F53-34
51322.1,AGR,M,F53,24-Jun,BrF52-46,50318.1,50179.1,50318,50179,F53-34
51326.1,AGR,M,F53,14-Jul,BrF52-70,50350.1,50215.1,50350,50215,F53-34b
51348.1,WR,M,F53,17-Jul,BrF52-76,50306.1,50267.1,50306,50267,F53-36
51352.1,AGR,M,F53,16-Jul,BrF52-78,50372.1,50283.1,50372,50283,F53-36
51330.1,BR,M,F53,16-Jul,BrF52-71,50394.1,50213.1,50394,50213,F53-34b
51354.1,AGR,M,F53,16-Jul,BrF52-78,50372.1,50283.1,50372,50283,F53-36
51358.1,WL,M,F53,17-Jul,BrF52-80,50208.1,50297.1,50208,50297,F53-36
51362.1,BR,M,F53,17-Jul,BrF52-79,50424.1,50287.1,50424,50287,F53-36
51366.1,WR,M,F53,17-Jul,BrF52-81,50334.1,50305.1,50334,50305,F53-38
51370.1,AGR,M,F53,17-Jul,BrF52-82,50254.1,50307.1,50254,50307,F53-38
51374.1,BR,M,F53,16-Jul,BrF52-83,50260.1,50317.1,50260,50317,F53-38
51378.1,WL,M,F53,17-Jul,BrF52-84,50290.1,50309.1,50290,50309,F53-38
51382.1,BL,M,F53,17-Jul,BrF52-89,50154.1,50367.1,50154,50367,F53-38
51386.1,BR,M,F53,NA,BrF52-85,50292.1,50319.1,50292,50319,F53-40
51390.1,WR,M,F53,18-Jul,BrF52-95,50400.1,50295.1,50400,50295,F53-40
51394.1,BL,M,F53,18-Jul,BrF52-88,50328.1,50347.1,50328,50347,F53-40
51398.1,WL,M,F53,19-Jul,BrF52-91,50212.1,50379.1,50212,50379,F53-40
51418.1,AGL,M,F53,20-Jul,BrF52-94,50320.1,50465.1,50320,50465,F53-42
51340.1,WL,M,F53,17-Jul,BrF52-68,50392.1,50165.1,50392,50165,F53-34b
51336.1,AGL,M,F53,17-Jul,BrF52-67,50356.1,50169.1,50356,50169,F53-34b
51344.1,WL,M,F53,17-Jul,BrF52-75,50446.1,50251.1,50446,50251,F53-34b
51452.1,BR,M,F53,19-Jul,BrF52-87,50176.1,50353.1,50176,50353,F53-40
51456.1,BR,M,F53,NA,BrF52-93,50178.1,50425.1,50178,50425,F53-42
51458.1,BL,M,F53,NA,BrF52-93,50178.1,50425.1,50178,50425,F53-42
51652.1,CC,M,F53,12-Aug,BrF52-98,50384.1,50395.1,50384,50395,TBA
51636.1,CC,M,F53,7-Aug,BrF52-100,50308.1,50403.1,50308,50403,TBA
51650.1,CC,M,F53,9-Aug,BrF52-101,50378.1,50399.1,50378,50399,TBA
51620.1,CC,M,F53,6-Aug,BrF52-105,50442.1,50357.1,50442,50357,TBA
51646.1,CC,M,F53,9-Aug,BrF52-106,50448.1,50361.1,50448,50361,TBA
51630.1,CC,M,F53,7-Aug,BrF52-107,50398.1,50363.1,50398,50363,TBA
