idx1	idx2	sire	dam	sex	generation	k.grm	k.ped	ped.kin
30607.1	12	287	25828.1	28916.1	2	F40	0.1019477377	0.39072395225849	25828 28916 30607 30608 31507 31508
30608.1	12	288	25828.1	28916.1	1	F40	0.08354851593	0.39072395225849	25828 28916 30607 30608 31407
31507.1	12	386	30493.1	30607.1	2	F41	0.05772570909	0.393008364374851	30493 30607 31507 31508 34459 34460
31508.1	12	387	30493.1	30607.1	1	F41	0.05239687871	0.393008364374851	30493 30607 31507 31508
22526.1	13	13	24399.1	23761.1	1	F39	0.4989901783	0.694726308232193	22524 22525 22526 22527 30006 30007 30369
22527.1	13	14	24399.1	23761.1	1	F39	0.08699085929	0.540812428363496	22524 22525 22526 22527 30609 30610 30611
30006.1	13	187	22526.1	28005.1	2	F40	0.05516544119	0.541761258160064	22526 28005 30006 30007 30369 35519 35520 35521
30007.1	13	188	22526.1	28005.1	2	F40	0.05541726462	0.541761258160064	22526 28005 30006 30007 30369 35535 35536
30369.1	13	249	22526.1	28005.1	1	F40	0.05108961383	0.541761258160064	22526 28005 30006 30007 30369 31112 31113 31114
30610.1	13	290	22527.1	28919.1	2	F40	0.05402788461	0.467802232876711	22527 28919 30609 30610 30611
30611.11	13	291	22527.1	28919.1	1	F40	0.05978447415	0.467802232876711	22527 28919 30609 30610 30611 31689 31690
22526.11	14	13	24399.1	23761.1	1	F39	0.08699085929	0.540812428363496	22524 22525 22526 22527 30006 30007 30369
22527.11	14	14	24399.1	23761.1	1	F39	0.4731739614	0.694726308232193	22524 22525 22526 22527 30609 30610 30611
30006.11	14	187	22526.1	28005.1	2	F40	0.0544929888	0.464804318225716	22526 28005 30006 30007 30369 35519 35520 35521
30609.1	14	289	22527.1	28919.1	2	F40	0.05541788704	0.54475917281106	22527 28919 30609 30610 30611 31501 31502
30611.12	14	291	22527.1	28919.1	1	F40	0.06048909017	0.54475917281106	22527 28919 30609 30610 30611 31689 31690
22521.12	15	8	24541.1	23758.1	2	F39	0.07509134032	0.394869648977598	22520 22521 22522 22523
22525.12	15	12	24399.1	23761.1	2	F39	0.05232269014	0.390660967499077	22524 22525 22526 22527
22528.12	15	15	23779.1	23776.1	2	F39	0.5325041346	0.695757404606985	22528 22529 22530 22531
30119.1	15	226	28917.1	25827.1	2	F40	0.06235760633	0.394352016147508	25827 28917 30119 30120 35974 35975
30120.1	15	227	28917.1	25827.1	1	F40	0.06754658079	0.394352016147508	25827 28917 30119 30120 31109 31110
33773.1	15	467	31111.1	31162.1	2	F42	0.05164571621	0.396043224581086	31162 33773 33774 36365 36366 36367
22529.1	16	16	23779.1	23776.1	2	F39	0.6530851237	0.695757404606985	22528 22529 22530 22531
22533.1	16	20	24077.1	23778.1	2	F39	0.05442221003	0.428459088534082	22532 22533 22534 22535
30496.1	16	280	25860.1	28918.1	1	F40	0.0551840689	0.399982949906559	28918 30495 30496
33701.1	16	398	35317.1	35250.1	2	F42	0.06693405281	0.400543414155721	33701 33702 33703 35317 36378 36379 36380
33749.1	16	443	35254.1	31109.1	2	F42	0.05073552561	0.397332095865718	31109 33749 33750 35254 36356 36357 36358
33775.1	16	469	31428.1	35522.1	2	F42	0.05683897685	0.397604611967692	31428 33775 33776 35522 36381 36382 36383
22530.1	17	17	23779.1	23776.1	1	F39	0.5323382663	0.695757404606985	22528 22529 22530 22531 29335 29336
22531.1	17	18	23779.1	23776.1	1	F39	0.05724742652	0.543180700518152	22528 22529 22530 22531 30046
29335.1	17	172	22530.1	22677.1	2	F40	0.05527400696	0.54430182259574	22530 22677 29335 29336
