"id"	"sire"	"dam"	"sex"	"generation"
46451.1	45423.1	45373.1	"2"	50
46454.1	45474.1	45433.1	"1"	50
46455.1	45474.1	45433.1	"2"	50
46457.1	45306.1	45350.1	"2"	50
46458.1	45306.1	45350.1	"1"	50
46461.1	45345.1	45448.1	"2"	50
46462.1	45345.1	45448.1	"1"	50
46465.1	45456.1	45436.1	"2"	50
46466.1	45477.1	45344.1	"1"	50
46469.1	45308.1	45372.1	"2"	50
46470.1	45308.1	45372.1	"1"	50
46473.1	45477.1	45344.1	"2"	50
46474.1	45456.1	45436.1	"1"	50
46478.1	45395.1	45428.1	"1"	50
46479.1	45395.1	45428.1	"2"	50
46482.1	45400.1	45469.1	"1"	50
46483.1	45400.1	45469.1	"2"	50
46486.1	45309.1	45419.1	"1"	50
46487.1	45309.1	45419.1	"2"	50
46490.1	45470.1	45347.1	"1"	50
46491.1	45470.1	45347.1	"2"	50
46497.1	45399.1	45487.1	"2"	50
46498.1	45399.1	45487.1	"1"	50
46640.1	45470.1	45437.1	"1"	50
46641.1	45470.1	45437.1	"2"	50
46644.1	45495.1	45388.1	"1"	50
46645.1	45495.1	45388.1	"2"	50
46672.1	45336.1	45368.1	"1"	50
46675.1	45336.1	45368.1	"2"	50
46695.1	46170.1	46080.1	"2"	51
48290.1	46477.1	46489.1	"1"	51
48304.1	46170.1	46080.1	"1"	51
48305.1	46099.1	46068.1	"2"	51
48306.1	46099.1	46068.1	"1"	51
48311.1	46117.1	46033.1	"2"	51
48313.1	46164.1	46186.1	"2"	51
48314.1	46117.1	46033.1	"1"	51
48316.1	46164.1	46186.1	"1"	51
48325.1	46171.1	46076.1	"2"	51
48326.1	46163.1	46083.1	"1"	51
48328.1	46171.1	46076.1	"1"	51
48331.1	46163.1	46083.1	"2"	51
48332.1	46086.1	46082.1	"1"	51
48337.1	46086.1	46082.1	"2"	51
48342.1	26574.1	46067.1	"1"	51
48344.1	46030.1	46176.1	"1"	51
48345.1	46030.1	46176.1	"2"	51
48347.1	46201.1	46034.1	"2"	51
48348.1	46201.1	46034.1	"1"	51
48352.1	46169.1	46187.1	"1"	51
48353.1	46169.1	46187.1	"2"	51
48355.1	46090.1	46043.1	"2"	51
48358.1	46090.1	46043.1	"1"	51
48361.1	46179.1	46120.1	"2"	51
48362.1	46179.1	46120.1	"1"	51
48365.1	46055.1	46054.1	"2"	51
48366.1	46055.1	46054.1	"1"	51
48369.1	46057.1	46048.1	"2"	51
48370.1	46057.1	46048.1	"1"	51
48373.1	46346.1	46118.1	"2"	51
48374.1	46346.1	46118.1	"1"	51
48377.1	46214.1	46105.1	"2"	51
48379.1	46078.1	46072.1	"2"	51
48381.1	46217.1	46079.1	"2"	51
48382.1	46214.1	46105.1	"1"	51
48383.1	46112.1	46121.1	"2"	51
48384.1	46078.1	46072.1	"1"	51
48387.1	46089.1	46095.1	"2"	51
48390.1	46217.1	46079.1	"1"	51
48391.1	46098.1	46103.1	"2"	51
48394.1	46112.1	46121.1	"1"	51
48395.1	46097.1	46091.1	"2"	51
48398.1	46089.1	46095.1	"1"	51
48399.1	46056.1	46047.1	"2"	51
48402.1	46098.1	46103.1	"1"	51
48406.1	46097.1	46091.1	"1"	51
48408.1	46056.1	46047.1	"1"	51
48409.1	46180.1	46049.1	"2"	51
48411.1	46087.1	46104.1	"2"	51
48412.1	46180.1	46049.1	"1"	51
48416.1	46087.1	46104.1	"1"	51
48417.1	46090.1	46043.1	"2"	51
48420.1	46200.1	46041.1	"1"	51
48423.1	46218.1	46175.1	"2"	51
48425.1	46084.1	46094.1	"2"	51
48426.1	46218.1	46175.1	"1"	51
48432.1	46084.1	46094.1	"1"	51
48436.1	46160.1	46191.1	"1"	51
48439.1	46160.1	46191.1	"2"	51
48441.1	46111.1	46192.1	"2"	51
48443.1	26574.1	46067.1	"2"	51
48444.1	46038.1	46219.1	"1"	51
48445.1	46038.1	46219.1	"2"	51
48447.1	46225.1	46198.1	"2"	51
48449.1	46074.1	46208.1	"2"	51
48452.1	46225.1	46198.1	"1"	51
48456.1	46074.1	46208.1	"1"	51
48464.1	46061.1	46301.1	"1"	51
48468.1	46075.1	46351.1	"1"	51
48472.1	46070.1	46367.1	"1"	51
48473.1	46207.1	46305.1	"2"	51
48475.1	46384.1	46173.1	"2"	51
48477.1	46213.1	46199.1	"2"	51
48478.1	46174.1	46359.1	"1"	51
48479.1	46029.1	46355.1	"2"	51
48482.1	46222.1	46385.1	"1"	51
48486.1	46207.1	46305.1	"1"	51
48489.1	46077.1	46343.1	"2"	51
48490.1	46384.1	46173.1	"1"	51
48494.1	46213.1	46199.1	"1"	51
48495.1	46110.1	46196.1	"2"	51
48496.1	46029.1	46355.1	"1"	51
49004.1	46077.1	46343.1	"1"	51
49007.1	46197.1	46303.1	"2"	51
49008.1	46110.1	46196.1	"1"	51
49011.1	46167.1	46373.1	"2"	51
49012.1	46350.1	46161.1	"1"	51
49015.1	46440.1	46037.1	"2"	51
49016.1	46197.1	46303.1	"1"	51
49019.1	46031.1	46188.1	"2"	51
49020.1	46167.1	46373.1	"1"	51
49024.1	46440.1	46037.1	"1"	51
49025.1	46066.1	46216.1	"2"	51
49026.1	46031.1	46188.1	"1"	51
49027.1	46468.1	46065.1	"2"	51
49028.1	46066.1	46216.1	"1"	51
