id	sire	dam	sex	generation
521030	513860	500910	2	54
521070	517660	518090	2	55
521080	517660	518090	1	55
521090	517440	518350	2	55
521120	517440	518350	1	55
521150	517020	518510	2	55
521160	517020	518510	1	55
521170	517760	518610	2	55
521200	517760	518610	1	55
521230	516840	517610	2	55
521240	516840	517610	1	55
521270	517160	517410	2	55
521310	518140	517870	2	55
521320	517160	517410	1	55
521360	518140	517870	1	55
521380	513860	500910	1	54
521390	513980	516150	2	54
521440	513980	516150	1	54
521450	518020	513370	2	54
521490	513900	514590	2	54
521500	518020	513370	1	54
521520	513900	514590	1	54
521530	518080	517730	2	55
521560	518080	517730	1	55
521590	517960	518650	2	55
521610	518060	518790	2	55
521620	517960	518650	1	55
521640	518060	518790	1	55
521650	518260	517150	2	55
521680	518260	517150	1	55
521690	517360	516710	2	55
521730	517080	517070	2	55
521740	517360	516710	1	55
521750	500820	516170	2	54
521770	516380	512790	2	54
521780	500820	516170	1	54
521800	516380	512790	1	54
521820	519120	517690	1	55
521850	516300	513010	2	54
521860	516300	513010	1	54
521910	517120	518370	2	55
521920	517080	517070	1	55
521930	517580	519430	2	55
521970	519420	518170	2	55
521980	517120	518370	1	55
541000	517840	520330	1	55
541040	516640	519170	1	55
541050	518380	519090	2	55
541060	518380	519090	1	55
541090	518300	518930	2	55
541130	518800	520130	2	55
541140	518300	518930	1	55
541160	518800	520130	1	55
541170	518740	520290	2	55
541210	519740	516670	2	55
541240	518740	520290	1	55
541250	519180	518590	2	55
541260	519740	516670	1	55
541300	519180	518590	1	55
541310	517040	520250	2	55
541330	520100	520070	2	55
541340	517040	520250	1	55
541380	520100	520070	1	55
541390	520020	516850	2	55
541410	519680	519550	2	55
541420	520020	516850	1	55
541460	519680	519550	1	55
541470	519220	520050	2	55
541490	519320	517770	2	55
541500	519220	520050	1	55
541530	519080	517330	2	55
541540	519320	517770	1	55
541570	518620	516870	2	55
541580	519080	517330	1	55
541610	519780	518730	2	55
541640	518620	516870	1	55
541650	519960	520370	2	55
541660	519780	518730	1	55
541690	519380	517490	2	55
541700	519380	517490	1	55
541730	517540	519030	2	55
541760	519960	520370	1	55
541780	517540	519030	1	55
541790	519040	517550	2	55
541820	519040	517550	1	55
541830	519900	516910	2	55
541860	519900	516910	1	55
541870	517300	519990	2	55
541900	517300	519990	1	55
541930	516320	512990	2	55
541940	519580	517970	1	55
541960	516320	512990	1	55
541980	519860	517350	1	55
541990	519580	517970	2	55
542010	519860	517350	2	55
542070	517300	519990	2	55
542090	519640	517810	2	55
542130	5218200	519370	2	55
542160	518680	520690	1	55
542170	518460	519890	2	55
542200	520500	519850	1	55
542210	520600	518410	2	55
542260	519480	521410	1	55
542270	518680	520690	2	55
542290	520500	519850	2	55
542300	520640	519450	1	55
542330	519480	521410	2	55
542340	518560	519250	1	55
542370	520640	519450	2	55
542380	518220	520430	1	55
542400	520420	517250	1	55
542430	518560	519250	2	55
542440	518720	519670	1	55
542450	518220	520430	2	55
542480	520080	520510	1	55
542490	520420	517250	2	55
542520	520280	518210	1	55
542530	518720	519670	2	55
542560	521460	519290	1	55
542570	520080	520510	2	55
542600	520160	521830	1	55
542610	520280	518210	2	55
542660	520740	519750	1	55
542670	521460	519290	2	55
542690	520160	521830	2	55
542700	520560	519510	1	55
542740	521400	517630	1	55
542760	517240	520610	1	55
542770	520740	519750	2	55
542790	520560	519510	2	55
542820	521840	519570	1	55
542830	521400	517630	2	55
542840	520380	520650	1	55
542890	517240	520610	2	55
542900	520460	518490	1	55
542910	521840	519570	2	55
542940	521880	517010	1	55
542950	520380	520650	2	55
542980	517500	520750	1	55
542990	520460	518490	2	55
543000	518880	518250	1	55
543030	521880	517010	2	55
543040	518720	519670	1	55
543070	517500	520750	2	55
543100	519260	521810	1	55
543110	518880	518250	2	55
543150	518720	519670	2	55
543160	516780	521510	1	55
543190	519260	521810	2	55
543200	520240	518990	1	55
543230	516780	521510	2	55
543240	517800	521430	1	55
543270	520240	518990	2	55
543300	517620	520950	1	55
543310	517800	521430	2	55
543320	541910	519310	1	55
543350	517620	520950	2	55
543360	520200	519390	1	55
543390	541910	519310	2	55
543400	516920	518690	1	55
543430	520200	519390	2	55
543460	521480	518950	1	55
543470	516920	518690	2	55
543500	516740	519830	1	55
543520	517400	518270	1	55
543530	521480	518950	2	55
543570	516740	519830	2	55
543590	517400	518270	2	55
543600	520060	519730	1	55
543630	520060	519730	2	55
543670	516700	519950	2	55
543680	516700	519950	1	55
543710	518980	521470	2	55
543720	518980	521470	1	55
543750	520900	521190	2	56
543760	520900	521190	1	56
543790	541020	521130	2	56
543800	541020	521130	1	56
543830	521700	521890	2	56
543840	521700	521890	1	56
543850	521600	521990	2	56
543880	521600	521990	1	56
543890	541840	520890	2	56
543900	541840	520890	1	56
543930	520980	541030	2	56
543960	520980	541030	1	56
543970	541600	541370	2	56
543980	541600	541370	1	56
548050	520320	520470	2	55
548080	541680	541230	1	56
548090	541680	541230	2	56
548120	541560	541190	1	56
548130	541560	541190	2	56
548160	520940	521290	1	56
548170	520940	521290	2	56
548180	521220	521110	1	56
548210	521340	521630	2	56
548220	521340	521630	1	56
548240	541520	521870	1	56
548270	521220	521110	2	56
548290	541520	521870	2	56
548300	521960	541750	1	56
548350	521960	541750	2	56
548360	541100	541550	1	56
548410	541100	541550	2	56
548420	541120	541670	1	56
548470	541120	541670	2	56
548480	541620	541810	1	56
548510	541620	541810	2	56
548530	521840	520970	2	56
548540	521840	520970	1	56
548590	541720	541630	2	56
548620	541720	541630	1	56
548630	521140	520910	2	56
548640	521140	520910	1	56
548670	542040	521710	2	56
548680	542040	521710	1	56
548710	520940	521290	2	56
548720	520940	521290	1	56
548750	541180	542510	2	56
548760	542180	521050	1	56
548790	541920	542310	2	56
548800	541180	542510	1	56
548830	521660	542410	2	56
548840	541920	542310	1	56
548870	542140	521210	2	56
548880	521660	542410	1	56
548910	542960	541270	2	56
548920	542140	521210	1	56
548950	542800	541890	2	56
548960	542960	541270	1	56
548990	542420	541710	2	56
549000	542800	541890	1	56
562030	542500	542810	2	56
562040	542420	541710	1	56
562070	521940	542390	2	56
562080	542500	542810	1	56
562110	521580	542870	2	56
562120	521940	542390	1	56
562150	542580	541070	2	56
562160	521580	542870	1	56
562190	521300	542750	2	56
562200	542580	541070	1	56
562230	542220	541350	2	56
562240	521300	542750	1	56
562270	541740	542110	2	56
562280	542220	541350	1	56
562310	542320	541850	2	56
562320	541740	542110	1	56
