"fam","id","sire","dam","sex"
"378",1,1645,415,354,"2"
"379",1,1655,373,398,"1"
"380",1,1664,375,356,"2"
"381",1,1668,413,379,"1"
"382",1,1672,377,366,"1"
"383",1,1677,377,366,"2"
"384",1,1685,413,379,"2"
"385",1,1688,383,372,"1"
"386",1,1696,378,385,"2"
"387",1,1699,378,385,"1"
"388",1,1708,387,340,"2"
"389",1,1721,402,357,"1"
"390",1,1729,387,340,"1"
"391",1,1734,371,389,"2"
"392",1,1738,429,409,"2"
"393",1,1747,426,401,"1"
"394",1,1750,426,401,"2"
"395",1,1754,429,409,"1"
"396",1,1762,422,407,"2"
"397",1,1766,431,408,"2"
"398",1,1775,445,428,"2"
"399",1,1778,445,428,"1"
"400",1,1782,359,324,"2"
"401",1,1789,436,425,"2"
"402",1,1791,436,425,"1"
"403",1,1799,446,412,"2"
"404",1,1800,446,412,"1"
"405",1,1817,443,418,"2"
"406",1,1819,443,418,"1"
"407",1,1825,438,417,"1"
"408",1,1826,438,417,"2"
"409",1,1831,437,411,"2"
"410",1,1834,439,420,"1"
"411",1,1839,439,420,"2"
"412",1,1848,478,462,"1"
"413",1,1855,447,458,"2"
"414",1,1857,447,458,"1"
"415",1,1862,472,463,"1"
"416",1,1868,472,463,"2"
"417",1,1876,476,441,"1"
"418",1,1884,473,453,"2"
"419",1,1885,473,453,"1"
"420",1,1893,461,474,"1"
"421",1,1894,461,474,"2"
"422",1,1899,424,410,"1"
"423",1,1917,459,470,"1"
"424",1,1919,459,470,"2"
"425",1,1927,467,454,"2"
"426",1,1943,452,460,"2"
"427",1,1949,475,433,"1"
"428",1,1959,455,466,"2"
"429",1,1961,455,466,"1"
"430",1,1970,451,468,"2"
"431",1,1973,451,468,"1"
"432",1,2215,680,789,"2"
"433",1,2287,545,888,"1"
"434",1,2291,545,888,"2"
"435",1,2380,692,679,"2"
"436",1,2391,889,1032,"2"
"437",1,2393,889,1032,"1"
"438",1,2396,738,572,"2"
"439",1,2401,738,572,"1"
"440",1,2407,1029,1162,"1"
"441",1,2409,1029,1162,"2"
"442",1,2519,662,759,"2"
"443",1,2527,662,759,"1"
"444",1,2536,697,569,"1"
"445",1,2538,697,569,"2"
"446",1,2548,731,948,"1"
"447",1,2549,731,948,"1"
"448",1,2551,955,699,"2"
"449",1,2561,955,699,"1"
"450",1,2566,1011,1094,"1"
"451",1,2569,1011,1094,"2"
"452",1,2571,1102,733,"1"
"453",1,2585,1060,684,"1"
"454",1,2593,1140,950,"1"
"455",1,2597,1140,950,"2"
"456",1,2611,575,1139,"1"
"457",1,2613,575,1139,"2"
"458",1,2624,578,1090,"1"
"459",1,2625,578,1090,"2"
"460",1,2628,792,1115,"2"
"461",1,2631,792,1115,"1"
"462",1,2639,854,1086,"2"
"463",1,2644,854,1086,"1"
"464",1,2648,1036,1070,"2"
"465",1,2653,1036,1070,"1"
"466",1,2663,696,1124,"1"
"467",1,2665,696,1124,"2"
"468",1,2676,1079,1057,"2"
"469",1,2678,1079,1057,"1"
"470",1,2679,691,1085,"2"
"471",1,2688,1059,853,"1"
"472",1,2695,1059,853,"2"
"473",1,2698,1071,1065,"2"
"474",1,2700,1071,1065,"1"
"475",1,2706,1118,1030,"2"
"476",1,2711,1118,1030,"1"
"477",1,2718,951,694,"2"
"478",1,2720,951,694,"1"
"479",1,2745,1091,1138,"2"
"480",1,2759,1134,705,"1"
"481",1,2761,1134,705,"2"
"482",1,2780,1163,730,"1"
"483",1,2782,1163,730,"2"
"484",1,2785,1163,730,"1"
"485",1,2958,1319,1219,"1"
"486",1,2960,1319,1219,"2"
"487",1,2972,1254,1235,"1"
"488",1,2976,1254,1235,"2"
"489",1,2985,1413,1315,"1"
"490",1,2986,1413,1315,"2"
"491",1,3055,1328,1223,"2"
"492",1,3059,1328,1223,"1"
"493",1,3064,1342,1264,"2"
"494",1,3069,1342,1264,"1"
"495",1,3074,1333,1190,"2"
"496",1,3080,1333,1190,"1"
"497",1,3207,1209,1380,"2"
"498",1,3209,1209,1380,"1"
"499",1,3217,1379,1401,"1"
"500",1,3225,1417,1337,"2"
"501",1,3235,1417,1337,"1"
"502",1,3254,1462,1320,"2"
"503",1,3257,1462,1320,"1"
"504",1,3269,1252,1390,"2"
"505",1,3270,1252,1390,"1"
"506",1,3274,1214,1282,"1"
"507",1,3281,1214,1282,"2"
"508",1,3293,1314,1377,"2"
"509",1,3304,1314,1377,"1"
"510",1,3320,1435,1367,"1"
"511",1,3329,1283,1486,"2"
"512",1,3333,1283,1486,"1"
"513",1,3337,1501,1293,"1"
"514",1,3345,1501,1293,"2"
"515",1,3378,1479,1463,"2"
"516",1,3379,1479,1463,"1"
"517",1,3384,1485,1273,"1"
"518",1,3387,1485,1273,"2"
"519",1,3394,1467,1481,"1"
"520",1,3400,1231,1510,"2"
"521",1,3403,1231,1510,"1"
"522",1,3409,1387,1261,"1"
"523",1,3414,1387,1261,"2"
"524",1,3475,1539,1541,"2"
"525",1,3483,1539,1541,"1"
"526",1,3485,1532,1586,"1"
"527",1,3488,1532,1586,"2"
"528",1,3494,1391,1419,"2"
"529",1,3496,1391,1419,"1"
"530",1,3504,1561,1198,"2"
"531",1,3505,1561,1198,"1"
"532",1,3511,1365,1550,"1"
"533",1,3512,1365,1550,"2"
"534",1,3518,1313,1664,"1"
"535",1,3526,1313,1664,"2"
"536",1,3528,1588,1577,"1"
"537",1,3529,1588,1577,"2"
"538",1,3605,1604,1225,"2"
"539",1,3606,1604,1225,"1"
"540",1,3610,1575,1569,"1"
"541",1,3617,1575,1569,"2"
"542",1,3628,1477,1411,"2"
"543",1,3632,1477,1411,"1"
"544",1,3636,1699,1623,"1"
"545",1,3645,1699,1623,"2"
"546",1,3661,1526,1540,"2"
"547",1,3667,1525,1563,"2"
"548",1,3672,1525,1563,"1"
"549",1,3680,1530,1466,"2"
"550",1,3743,1207,1597,"2"
"551",1,3744,1207,1597,"1"
"552",1,3746,1638,1677,"1"
"553",1,3747,1638,1677,"2"
"554",1,3756,1381,1685,"1"
"555",1,3759,1381,1685,"2"
"556",1,3762,1609,1202,"2"
"557",1,3765,1609,1202,"1"
"558",1,3775,1619,1332,"1"
"559",1,3777,1619,1332,"2"
"560",1,3795,1688,1612,"1"
"561",1,3803,1688,1612,"2"
"562",1,3818,1182,1422,"2"
"563",1,3835,1585,1734,"2"
"564",1,3838,1585,1734,"1"
"565",1,3867,1191,1310,"2"
"566",1,3869,1754,1594,"1"
"567",1,3872,1754,1594,"1"
"568",1,3941,1747,1782,"2"
"569",1,3948,1747,1782,"1"
"570",1,3950,1668,1839,"1"
"571",1,4014,1521,1789,"1"
"572",1,4020,1721,1762,"2"
"573",1,4025,1729,1831,"1"
"574",1,4026,1729,1831,"2"
"575",1,4041,1825,1708,"1"
"576",1,4043,1825,1708,"2"
"577",1,4044,1819,1696,"2"
"578",1,4046,1819,1696,"1"
"579",1,4054,1834,1738,"1"
"580",1,4058,1834,1738,"2"
"581",1,4071,1885,1817,"1"
"582",1,4078,1885,1817,"2"
"583",1,4080,1862,1766,"1"
"584",1,4082,1862,1766,"1"
"585",1,4100,1566,1855,"2"
"586",1,4104,1566,1855,"1"
"587",1,4109,1848,1927,"2"
"588",1,4110,1848,1927,"2"
"589",1,4138,1899,1884,"1"
"590",1,4139,1899,1884,"2"
"591",1,4143,1961,1799,"2"
"592",1,4157,1973,1775,"2"
"593",1,4165,1973,1775,"1"
"594",1,4180,1949,1943,"2"
"595",1,4187,1949,1943,"1"
"596",1,4208,1893,1644,"2"
"597",1,4243,1629,1959,"2"
"598",1,4256,1655,1919,"2"
"599",1,4258,1655,1919,"1"
"600",1,4264,1791,1894,"1"
"601",1,4267,1791,1894,"2"
"602",1,4274,1672,1750,"1"
"603",1,4295,1917,1826,"2"
"604",1,4302,1800,1868,"2"
"605",1,4306,1800,1868,"1"
"606",1,4331,1876,1970,"2"
"607",1,4333,1876,1970,"1"
"608",1,4346,1778,1626,"1"
"609",1,4350,1778,1626,"2"
"610",1,4419,1857,1645,"1"
"611",1,4424,1857,1645,"2"
"612",1,4571,2549,2538,"2"
"613",1,4573,2549,2538,"1"
"614",1,4585,2561,2291,"2"
"615",1,4589,2561,2291,"1"
"616",1,4590,2561,2291,"2"
"617",1,4639,2401,2215,"2"
"618",1,4640,2401,2215,"1"
"619",1,4688,2571,2639,"1"
"620",1,4691,2571,2639,"2"
"621",1,4715,2566,2409,"2"
"622",1,4716,2566,2409,"1"
"623",1,4717,2536,2698,"1"
"624",1,4718,2536,2698,"2"
"625",1,4719,2536,2698,"1"
"626",1,4823,2393,2519,"1"
"627",1,4826,2393,2519,"2"
"628",1,4828,2407,2569,"1"
"629",1,4831,2407,2569,"2"
"630",1,4833,2407,2569,"2"
"631",1,4887,2663,2613,"1"
"632",1,4889,2663,2613,"2"
"633",1,4900,2678,2679,"2"
"634",1,4909,2678,2679,"1"
"635",1,4914,2624,2718,"1"
"636",1,4915,2624,2718,"2"
"637",1,4917,2624,2718,"2"
"638",1,4919,2700,2380,"1"
"639",1,4921,2700,2380,"2"
"640",1,4939,2759,2706,"1"
"641",1,4940,2759,2706,"2"
"642",1,4970,2287,2665,"1"
"643",1,4974,2287,2665,"2"
"644",1,4976,2287,2665,"1"
"645",1,4987,2548,2628,"1"
"646",1,4988,2548,2628,"2"
"647",1,4998,2611,2625,"1"
"648",1,5006,2631,2648,"1"
"649",1,5007,2631,2648,"2"
"650",1,5018,2644,2551,"2"
"651",1,5041,2585,2695,"2"
"652",1,5050,2585,2695,"1"
"653",1,5056,2688,2391,"1"
"654",1,5058,2688,2391,"1"
"655",1,5060,2688,2391,"2"
"656",1,5066,2527,2761,"1"
"657",1,5070,2527,2761,"2"
"658",1,5084,2711,2745,"1"
"659",1,5088,2711,2745,"2"
"660",1,5111,2653,2396,"2"
"661",1,5113,2653,2396,"1"
"662",1,5135,2593,2597,"2"
"663",1,5136,2593,2597,"1"
"664",1,5196,2972,2986,"1"
"665",1,5202,2972,2986,"2"
"666",1,5296,2958,3254,"2"
