"id" "sex" "generation" "sire" "dam"
1510 "F" "F3" 336 289
1521 "M" "F3" 348 285
1525 "M" "F3" 333 300
1526 "M" "F3" 115 236
1530 "M" "F3" 395 341
1532 "M" "F3" 395 341
1539 "M" "F3" 370 397
1540 "F" "F3" 400 382
1541 "F" "F3" 400 382
1550 "F" "F3" 388 346
1561 "M" "F3" 395 341
1563 "F" "F3" 115 236
1566 "M" "F3" 115 236
1569 "F" "F3" 405 337
1575 "M" "F3" 406 374
1577 "F" "F3" 406 374
1585 "M" "F3" 394 351
1586 "F" "F3" 394 351
1588 "M" "F3" 405 337
1594 "F" "F3" 392 364
1597 "F" "F3" 403 339
1604 "M" "F3" 403 339
1609 "M" "F3" 392 364
1612 "F" "F3" 390 338
1619 "M" "F3" 390 338
1623 "F" "F3" 393 360
1626 "F" "F3" 393 360
1629 "M" "F3" 399 347
1638 "M" "F3" 414 396
1644 "F" "F3" 415 354
1645 "F" "F3" 415 354
1655 "M" "F3" 373 398
1664 "F" "F3" 375 356
1668 "M" "F3" 413 379
1672 "M" "F3" 377 366
1677 "F" "F3" 377 366
1685 "F" "F3" 413 379
1688 "M" "F3" 383 372
1696 "F" "F3" 378 385
1699 "M" "F3" 378 385
1708 "F" "F3" 387 340
1721 "M" "F3" 402 357
1729 "M" "F3" 387 340
1734 "F" "F3" 371 389
1738 "F" "F3" 429 409
1747 "M" "F3" 426 401
1750 "F" "F3" 426 401
1754 "M" "F3" 429 409
1762 "F" "F3" 422 407
1766 "F" "F3" 431 408
1775 "F" "F3" 445 428
1778 "M" "F3" 445 428
1782 "F" "F3" 359 324
1789 "F" "F3" 436 425
1791 "M" "F3" 436 425
1799 "F" "F3" 446 412
1800 "M" "F3" 446 412
1817 "F" "F3" 443 418
1819 "M" "F3" 443 418
1825 "M" "F3" 438 417
1826 "F" "F3" 438 417
1831 "F" "F3" 437 411
1834 "M" "F3" 439 420
1839 "F" "F3" 439 420
1848 "M" "F3" 478 462
1855 "F" "F3" 447 458
1857 "M" "F3" 447 458
1862 "M" "F3" 472 463
1868 "F" "F3" 472 463
1876 "M" "F3" 476 441
1884 "F" "F3" 473 453
1885 "M" "F3" 473 453
1893 "M" "F3" 461 474
1894 "F" "F3" 461 474
1899 "M" "F3" 424 410
1917 "M" "F3" 459 470
1919 "F" "F3" 459 470
1927 "F" "F3" 467 454
1943 "F" "F3" 452 460
1949 "M" "F3" 475 433
1959 "F" "F3" 455 466
1961 "M" "F3" 455 466
1970 "F" "F3" 451 468
1973 "M" "F3" 451 468
2215 "F" "F4" 680 789
2287 "M" "F4" 545 888
2291 "F" "F4" 545 888
2380 "F" "F4" 692 679
2391 "F" "F4" 889 1032
2393 "M" "F4" 889 1032
2396 "F" "F4" 738 572
2401 "M" "F4" 738 572
2407 "M" "F4" 1029 1162
2409 "F" "F4" 1029 1162
2519 "F" "F4" 662 759
2527 "M" "F4" 662 759
2536 "M" "F4" 697 569
2538 "F" "F4" 697 569
2548 "M" "F4" 731 948
2549 "M" "F4" 731 948
2551 "F" "F4" 955 699
2561 "M" "F4" 955 699
2566 "M" "F4" 1011 1094
2569 "F" "F4" 1011 1094
2571 "M" "F4" 1102 733
2585 "M" "F4" 1060 684
2593 "M" "F4" 1140 950
2597 "F" "F4" 1140 950
2611 "M" "F4" 575 1139
2613 "F" "F4" 575 1139
2624 "M" "F4" 578 1090
2625 "F" "F4" 578 1090
2628 "F" "F4" 792 1115
2631 "M" "F4" 792 1115
2639 "F" "F4" 854 1086
2644 "M" "F4" 854 1086
2648 "F" "F4" 1036 1070
2653 "M" "F4" 1036 1070
2663 "M" "F4" 696 1124
2665 "F" "F4" 696 1124
2676 "F" "F4" 1079 1057
2678 "M" "F4" 1079 1057
2679 "F" "F4" 691 1085
2688 "M" "F4" 1059 853
2695 "F" "F4" 1059 853
2698 "F" "F4" 1071 1065
2700 "M" "F4" 1071 1065
2706 "F" "F4" 1118 1030
2711 "M" "F4" 1118 1030
2718 "F" "F4" 951 694
2720 "M" "F4" 951 694
2745 "F" "F4" 1091 1138
2759 "M" "F4" 1134 705
2761 "F" "F4" 1134 705
2780 "M" "F4" 1163 730
2782 "F" "F4" 1163 730
2785 "M" "F4" 1163 730
2958 "M" "F4" 1319 1219
2960 "F" "F4" 1319 1219
2972 "M" "F4" 1254 1235
2976 "F" "F4" 1254 1235
2985 "M" "F4" 1413 1315
2986 "F" "F4" 1413 1315
3055 "F" "F4" 1328 1223
3059 "M" "F4" 1328 1223
3064 "F" "F4" 1342 1264
3069 "M" "F4" 1342 1264
3074 "F" "F4" 1333 684
3080 "M" "F4" 1333 1750
3207 "F" "F4" 1209 1380
3209 "M" "F4" 1209 1380
3217 "M" "F4" 1379 1401
3225 "F" "F4" 1417 1337
3235 "M" "F4" 1417 1337
3254 "F" "F4" 1462 1320
3257 "M" "F4" 1462 1320
3269 "F" "F4" 1252 1390
3270 "M" "F4" 1252 1390
3274 "M" "F4" 1214 1282
3281 "F" "F4" 1214 1282
3293 "F" "F4" 1314 1377
3304 "M" "F4" 1314 1377
3320 "M" "F4" 1435 1367
3329 "F" "F4" 1283 1486
3333 "M" "F4" 1283 1486
3337 "M" "F4" 1501 1293
3345 "F" "F4" 1501 1293
3378 "F" "F4" 1479 1463
3379 "M" "F4" 1479 1463
3384 "M" "F4" 1485 1273
3387 "F" "F4" 1485 1273
3394 "M" "F4" 1467 1481
3400 "F" "F4" 1231 1510
