id	glu.age	glu.weight	glucose	rip.age	rip.weight	tail	wild	brain
49440	71	32.2	100	78	33.9	9.1	0	n
49447	71	28.2	124	78	29.3	8.1	0	n
49448	71	33.9	108	78	34.6	8.9	0	n
49451	71	25.4	97	78	27.8	8.2	0	n
49452	71	39	138	78	41.8	8.9	0	y
49453	71	23.9	121	78	26.2	7.9	0	y
49456	71	26.1	103	78	27.8	8.5	0	n
49461	70	21.6	89	77	22.4	7.5	0	n
49462	70	37	129	77	38.7	8.5	0	y
49466	70	30	107	77	30.5	8.5	0	n
49467	70	16.6	74	77	18.2	7.5	0	n
49470	69	31.5	105	76	32.6	8.5	0	n
49471	69	21.9	92	76	23.2	8.4	0	y
49472	70	23.1	79	77	24	7.4	0	n
49475	70	19.8	114	77	20.5	7.1	0	n
49476	70	30.3	128	78	31.8	8.6	0	n
49479	70	19.8	114	77	20.6	7.8	0	n
49482	69	31.9	160	77	34	8.5	0	n
49485	69	21	95	76	20.5	7.9	0	y
49486	69	28.8	121	77	31.1	8	0	n
49487	69	23.5	119	76	22.8	7.7	0	n
49490	69	19.7	116	77	21.5	7.7	0	y
49494	69	30.9	118	77	32.1	8.4	0	n
49497	69	17.5	70	76	17.4	7.5	0	n
49498	71	27.5	159	79	29.9	8.1	0	y
49499	69	21.8	81	77	21.9	7.5	8	n
50076	73	26.4	90	81	27.8	8	0	y
50078	72	25.1	126	80	26.4	8.1	9	y
50085	72	23.4	81	80	25.2	7.8	1	n
50086	72	25.7	67	80	27.3	8.3	0	n
50092	73	31.7	66	81	27.6	8	0	n
50094	66	26.6	111	74	26.2	8	2	n
50095	73	23.8	97	81	24.5	8	0	y
50099	66	19.7	73	74	20.7	8	0	y
50100	69	32.1	93	77	33.7	8.5	0	y
50102	71	28.5	167	79	29.3	7.8	0	n
50103	71	18.2	137	79	19.6	7.6	0	n
50106	70	25.3	146	78	26.9	8.4	0	n
50107	71	21.4	145	79	22.1	7.4	0	y
50114	69	23.4	115	77	25.3	8.1	0	n
50115	70	17.7	82	78	19.1	8	0	n
50118	71	30.2	143	79	31.1	8	0	n
50119	69	14.7	62	77	15.8	7.3	0	n
50121	71	25	87	79	25.2	7.6	0	n
50122	70	21.6	110	78	23.3	8.1	0	y
50125	70	17.8	77	78	19.1	7.2	0	n
50129	71	25.5	97	79	27.8	8.1	0	n
50131	70	17.8	74	78	17.5	7.6	7	y
50132	71	32.8	118	79	31.8	8.1	0	n
50134	70	25.2	137	78	25.3	8	0	n
50137	70	22.8	97	78	25.1	7.8	0	n
50140	70	31.3	129	78	32.1	7.6	0	n
50143	69	23.8	90	77	23.5	7	0	n
50146	69	35.9	146	77	36.9	8.3	0	y
50147	61	27.5	95	69	29.2	7.5	0	y
50148	61	35.3	167	69	38.4	8.3	0	n
50150	75	33	54	82	34.4	8.3	0	n
50151	75	34.6	84	82	36.7	7.5	0	n
50152	75	33.1	102	82	33.4	8.6	0	n
50153	75	22.8	70	82	23.2	7.8	1	y
50156	75	39.1	91	82	42.9	8	0	n
50158	75	25.7	82	82	28.7	8.2	0	y
50159	75	19.8	30	82	22.3	7.2	0	n
50163	75	20.2	73	82	20.7	7.5	0	n
50164	75	28.3	99	82	30.8	7.4	0	n
50168	75	24.8	98	82	25.5	7.5	0	y
50172	74	32.1	68	81	34.9	8.2	0	n
50182	74	25.5	86	81	27.1	8.1	1	n
50185	74	23.2	87	81	24	8.5	0	n
50186	74	30.9	95	81	31.5	9.5	0	y
50189	72	26.1	100	79	26.5	8.5	0	n
50190	74	33.2	130	81	34.3	8.5	0	n
50191	74	24.6	99	81	26.1	8.1	0	n
50194	74	29.3	132	81	30.3	8.3	0	n
50195	74	18.4	70	81	19.9	7.8	0	y
50198	74	23	74	81	24.7	7.5	0	n
50201	73	22.7	56	80	23.2	7.7	0	n
50202	73	26.8	83	80	28	8.1	0	n
50205	73	22.9	76	80	22.2	7.9	2	n
50206	73	25.6	111	80	27.4	7.7	0	n
50210	73	21.7	73	80	23	8.6	0	n
50211	74	18.4	26	81	19.6	7.6	1	n
50216	74	26.7	44	81	28.8	8.5	0	y
50217	74	19.4	46	81	20.3	7.5	0	y
50220	73	29.3	75	81	32.6	8.2	0	y
50223	73	20.3	80	81	23.5	7	0	y
50225	73	16.9	60	81	17.8	7.5	0	n
50226	73	22.7	43	81	25.3	8	0	n
50230	73	26.7	71	81	27.5	8.5	0	n
50234	73	22.1	119	81	22.6	7.9	0	y
50235	73	19.4	112	81	20.5	7.6	0	n
50237	74	22.3	76	82	22.6	8.2	0	y
50238	74	26.6	101	82	28.5	8.5	0	n
50241	73	21.5	79	81	23.5	7.7	0	n
50242	73	33.2	97	81	35.2	7.7	0	n
50245	73	20.2	75	81	21.5	8.4	0	n
50248	73	29.5	93	81	31	8	0	n
50252	74	28.9	107	82	30.6	8.5	0	n
50253	73	20.8	99	81	19.8	7.3	0	n
50255	74	20.6	88	82	21	7.8	0	y
50258	73	27	104	81	28.3	8.5	0	y
50259	73	21.8	71	81	21.5	7.9	0	n
50262	72	25.3	111	80	26.1	8.4	0	n
50265	72	20	129	80	NA	NA	0	y
50266	70	30.1	115	78	32.7	8.1	0	n
50269	70	28.4	113	78	28.3	8.1	0	n
50279	60	22.3	104	68	22.9	7.8	10	n
50282	85	31.9	87	89	30.4	8.6	0	n
50286	85	33.5	113	89	33.6	8	0	n
