"id"	"gen"
51810	54
51811	54
51812	54
51813	54
51815	54
51816	54
51819	54
51820	54
51823	54
51828	54
51829	54
51831	54
51832	54
51833	54
51836	54
51839	54
51840	54
51842	54
51845	54
51847	54
51850	54
51853	54
51854	54
51857	54
51858	54
51863	54
51866	54
51867	54
51870	54
51871	54
51875	54
51876	54
51877	54
51878	54
51881	54
51882	54
51883	54
51886	54
51890	54
51891	54
51892	54
51896	54
51897	54
51901	54
51902	54
51905	54
51906	54
51910	54
51911	54
51913	54
51914	54
51916	54
51920	54
51923	54
51924	54
51927	54
51930	54
51933	54
51935	54
51936	54
51940	54
51941	54
51944	54
51947	54
51949	54
51950	54
51953	54
51956	54
51959	54
51961	54
51962	54
51965	54
51966	54
51971	54
51972	54
51976	54
51979	54
51980	54
51981	54
51982	54
51984	54
51987	54
51991	54
51992	54
51993	54
51994	54
51997	54
51998	54
52000	54
52003	54
52004	54
52009	54
52011	54
52012	54
52014	54
52015	54
52018	54
52019	54
52022	54
52026	54
52027	54
52030	54
52031	54
52035	54
52036	54
52040	54
52041	54
52044	54
52045	54
52048	54
52049	54
52053	54
52055	54
52058	54
52059	54
52062	54
52063	54
52066	54
52067	54
52071	54
52072	54
52073	54
52076	55
52077	55
52079	55
52081	55
52083	55
52088	55
52092	55
52093	55
52096	55
52099	55
52100	55
52101	54
52102	54
52103	54
52107	55
52108	55
52109	55
52112	55
52115	55
52116	55
52117	55
52120	55
52123	55
52124	55
52127	55
52131	55
52132	55
52136	55
52138	54
52139	54
52144	54
52145	54
52149	54
52150	54
52152	54
52153	55
52156	55
52159	55
52161	55
52162	55
52164	55
52165	55
52168	55
52169	55
52173	55
52174	55
52175	54
52177	54
52178	54
52180	54
52182	55
52185	54
52186	54
52191	55
52192	55
52193	55
52197	55
52198	55
54100	55
54104	55
54105	55
54106	55
54109	55
54113	55
54114	55
54116	55
54117	55
54121	55
54124	55
54125	55
54126	55
54130	55
54131	55
54133	55
54134	55
54138	55
54139	55
54141	55
54142	55
54146	55
54147	55
54149	55
54150	55
54153	55
54154	55
54157	55
54158	55
54161	55
54164	55
54165	55
54166	55
54169	55
54170	55
54173	55
54176	55
54178	55
54179	55
54182	55
54183	55
54186	55
54187	55
54190	55
54193	55
54194	55
54196	55
54198	55
54199	55
54201	55
54207	55
54209	55
54213	55
54216	55
54217	55
54220	55
54221	55
54226	55
54227	55
54229	55
54230	55
54233	55
54234	55
54237	55
54238	55
54240	55
54243	55
54244	55
54245	55
54248	55
54249	55
54252	55
54253	55
54256	55
54257	55
54260	55
54261	55
54266	55
54267	55
54269	55
54270	55
54274	55
54276	55
54277	55
54279	55
54282	55
54283	55
54284	55
54289	55
54290	55
54291	55
54294	55
54295	55
54298	55
54299	55
54300	55
54303	55
54304	55
54307	55
54310	55
54311	55
54315	55
54316	55
54319	55
54320	55
54323	55
54324	55
54327	55
54330	55
54331	55
54332	55
54335	55
54336	55
54339	55
54340	55
54343	55
54346	55
54347	55
54350	55
54352	55
54353	55
54357	55
54359	55
54360	55
54363	55
54367	55
54368	55
54371	55
54372	55
