id,gen,cage,fam,dam,sire,sex,ppi.weight,ppi.age,
46462,50,Test F50-32,BrF49-78,45448,45345,M,33.9,72,
46465,50,Test F50-31,BrF49-73,45436,45456,F,20,72,
46466,50,Test F50-32,BrF49-58,45344,45477,M,28.8,71,
46469,50,Test F50-31,BrF49-64,45372,45308,F,22.6,71,
46470,50,Test F50-32,BrF49-64,45372,45308,M,28,71,
46473,50,Test F50-31,BrF49-58,45344,45477,F,19.8,71,
46474,50,Test F50-32,BrF49-73,45436,45456,M,31.7,72,
46478,50,Test F50-34,BrF49-68,45428,45395,M,34.5,69,
46479,50,Test F50-33,BrF49-68,45428,45395,F,24.8,69,
46482,50,Test F50-34,BrF49-83,45469,45400,M,30.1,68,
46483,50,Test F50-33,BrF49-83,45469,45400,F,22.6,68,
46486,50,Test F50-34,BrF49-69,45419,45309,M,26.9,69,
46487,50,Test F50-33,BrF49-69,45419,45309,F,17.9,69,
46490,50,Test F50-34,BrF49-74,45347,45470,M,26.6,69,
46491,50,Test F50-35,BrF49-74,45347,45470,F,24,69,
46497,50,Test F50-35,BrF49-85,45487,45399,F,22.8,71,
46498,50,Test F50-36,BrF49-85,45487,45399,M,26.7,71,
46640,50,Test F50-40,BrF49-70,45437,45470,M,35.7,67,
46641,50,Test F50-39,BrF49-70,45437,45470,F,26.6,67,
46644,50,Test F50-40,BrF49-45,45388,45495,M,28.6,66,
46645,50,Test F50-39,BrF49-45,45388,45495,F,20.5,66,
46672,50,Test-F50-43,BrF49-62,45368,45336,M,27.3,60,
46675,50,Test F50-37,BrF49-62,45368,45336,F,20.5,60,
46695,51,Test.F51-01,BrF50-07,46080,46170,F,23,71,
48290,51,Test.F51-52,BrF50-101,46489,46477,M,20.6,61,
48304,51,Test.F51-02,BrF50-07,46080,46170,M,29.1,71,
48305,51,Test.F51-01,BrF50-04,46068,46099,F,23.7,71,
48306,51,Test.F51-02,BrF50-04,46068,46099,M,35.3,71,
48311,51,Test.F51-03,BrF50-01,46033,46117,F,26,69,
48313,51,Test.F51-03,BrF50-34,46186,46164,F,22.8,69,
48314,51,Test.F51-04,BrF50-01,46033,46117,M,28.9,69,
48316,51,Test.F51-04,BrF50-34,46186,46164,M,36.6,69,
48325,51,Test.F51-15,BrF50-05,46076,46171,F,21.8,69,
48326,51,Test.F51-14,BrF50-25,46083,46163,M,29.9,71,
48328,51,Test.F51-14,  BrF50-05,46076,46171,M,28.3,69,
48331,51,Test.F51-15,BrF50-25,46083,46163,F,22.9,71,
48332,51,Test.F51-14,  BrF50-24,46082,46086,M,30.8,69,
48337,51,Test.F51-15,BrF50-24,46082,46086,F,25.5,69,
