id	tissue	samp.id	lib.name	index	rin	con.RNA	lib.size	con.cDNA	sex	age																		
51396	hip	hip51396	AIL_RNA3a	4	9.5	280.09	312	23.56																				
51361	hip	hip51361	AIL_RNA3b	22	9.5	169.47	306	22.92																				
50374	hip	hip50374	AIL_RNA6b	27	8.0	377.94	312	31.79																				
50429	hip	hip50429	AIL_RNA4b	1	8.3	294.90	296	24.61																				
50288	hip	hip50288	AIL_RNA2c	10	8.9	339.61	315	25.69																				
50405	hip	hip50405	AIL_RNA3d	20	9.0	305.42	290	17.64																				
50322	hip	hip50322	AIL_RNA5b	3	9.0	255.16	296	28.02																				
50430	hip	hip50430	AIL_RNA8d	8	8.8	245.91	279	23.57																				
50420	hip	hip50420	AIL_RNA5b	25	8.9	383.49	287	20.40																				
50299	hip	hip50299	AIL_RNA8d	11	9.0	354.20	285	2.03																				
50304	hip	hip50304	AIL_RNA6a	11	8.9	273.24	283	16.22																				
54257	hip	hip54257	AIL_RNA3d	22	9.3	340.89	289	16.27																				
54226	hip	hip54226	AIL_RNA4b	5	9.3	368.90	292	4.06																				
50348	hip	hip50348	AIL_RNA4d	6	8.8	391.00	296	14.22																				
50348	hip	hip50348	AIL_RNA5d	6	8.8	391.00	296	14.22																				
50355	hip	hip50355	AIL_RNA3b	15	8.8	323.74	320	19.20																				
54244	hip	hip54244	AIL_RNA4c	2	9.3	303.36	285	6.82																				
54244	hip	hip54244	AIL_RNA5a	2	9.3	303.36	285	6.82																				
45497	hip	hip45497	AIL_RNA5d	7	9.3	375.42	294	1.86																				
46013	hip	hip46013	AIL_RNA2c	19	9.4	258.15	292	15.63																				
46127	hip	hip46127	AIL_RNA4a	23	9.4	301.68	290	23.79																				
54284	hip	hip54284	AIL_RNA2d	1	9.8	270.84	319	37.23																				
54299	hip	hip54299	AIL_RNA3c	2	9.6	286.50	310	36.65																				
54307	hip	hip54307	AIL_RNA3a	5	9.5	315.20	309	33.88																				
54300	hip	hip54300	AIL_RNA8d	5	9.5	289.00	303	7.47																				
46004	hip	hip46004	AIL_RNA3d	8	9.4	223.92	317	31.06																				
26581	hip	hip26581	AIL_RNA3c	4	9.3	299.22	303	34.45																				
26595	hip	hip26595	AIL_RNA3b	19	9.2	324.07	311	33.89																				
50311	hip	hip50311	AIL_RNA2d	27	9.0	297.62	309	41.52																				
54260	hip	hip54260	AIL_RNA6c	8	9.3	389.70	284	6.37																				
50265	hip	hip50265	AIL_RNA6c	1	9.5	369.12	284	8.95																				
54360	hip	hip54360	AIL_RNA9b	14	9.2	368.58	292	72.76																				
54289	hip	hip54289	AIL_RNA9a	4	9.4	327.24	275	3.00																				
52112	hip	hip52112	AIL_RNA7a	25	8.9	318.40	286	4.61																				
54227	hip	hip54227	AIL_RNA7d	12	9.2	308.81	297	4.44																				
54335	hip	hip54335	AIL_RNA6d	5	9.3	303.14	282	14.82																				
51202	hip	hip51202	AIL_RNA6a	18	9.0	298.85	285	10.51																				
52072	hip	hip52072	AIL_RNA6a	27	8.8	297.82	303	21.61																				
52161	hip	hip52161	AIL_RNA5b	21	9.0	291.30	281	7.15																				
51259	hip	hip51259	AIL_RNA6c	14	9.1	289.92	268	2.98																				
51224	hip	hip51224	AIL_RNA5a	20	9.0	288.28	262	5.75																				
54368	hip	hip54368	AIL_RNA5b	13	9.1	287.77	279	10.68																				
51221	hip	hip51221	AIL_RNA5a	19	9.0	287.24	288	12.94																				
50774	hip	hip50774	AIL_RNA5b	14	9.1	282.02	291	7.91																				
49217	hip	hip49217	AIL_RNA4d	14	9.1	280.84	294	13.85																				
51205	hip	hip51205	AIL_RNA5c	19	9.0	279.43	287	16.87																				
50099	hip	hip50099	AIL_RNA5c	22	8.9	276.11	284	7.32																				
54331	hip	hip54331	AIL_RNA5c	13	9.1	272.49	277	6.68																				
52131	hip	hip52131	AIL_RNA7b	11	8.8	271.24	302	7.56																				
49210	hip	hip49210	AIL_RNA7c	21	8.9	263.65	301	13.31																				
54332	hip	hip54332	AIL_RNA5a	9	9.2	263.19	292	16.22																				
50778	hip	hip50778	AIL_RNA5b	10	9.2	261.54	282	15.16																				
54353	hip	hip54353	AIL_RNA5c	16	9.0	256.77	283	12.56																				
50763	hip	hip50763	AIL_RNA7c	7	8.9	253.37	285	5.33																				
